Name,v_r(km/s),v_r_std(km/s),v_phi(rad/s),v_phi_std(rad/s),v_x(km/s),v_x_std(km/s),v_y(km/s),v_y_std(km/s),v_z(km/s),v_z_std(km/s),j_r(kpc km s^-1),j_r_std(kpc km s^-1),j_phi(kpc s^(-1)),j_phi_std(kpc km s^(-1)),j_x(kpc km s^(-1)),j_x_std(kpc km s^(-1)),j_y(kpc km s^(-1)),j_y_std(kpc km s^(-1)),j_z(kpc km s^(-1)),j_z_std(kpc km s^(-1)),energy_mean(km^2 s^(-2)),energy_std(km^2 s^(-2)),rperi_mean(kpc),rperi_std(kpc),rapo_mean(kpc),rapo_std(kpc),zmax_mean(kpc),zmax_std(kpc),ecc_mean,ecc_std
HE2144-1832,-189.0613004,0.92364446,-274.1519491,0.556537082,187.7387655,1.349643173,-139.9457719,0.109687333,-22.64469859,0.69228953,632.0021003,6.897619357,-1913.165306,3.915233365,-627.5810749,3.688215381,74.62337197,0.815375898,103.0911197,1.000730123,-132823.3001,222.2872036,5.331849632,0.014595607,19.26624958,0.102414198,4.838428001,0.051712075,0.566475635,0.002086458
HE2148-1247,118.4304628,0.909392688,2.277274115,0.721711943,-117.1318335,1.333836198,90.08449439,0.134651862,-297.0424244,0.806933453,535.4851322,6.072700477,16.10935064,5.105092949,-529.61336,3.446817015,79.08232205,0.897908646,1807.555973,12.14505536,-136699.5268,232.4703934,4.881575861,0.029169756,17.51682863,0.096691321,17.4985593,0.09535101,0.564109917,0.002440193
HE2155-3750,-8.168187646,0.988849456,42.62928274,0.703750727,8.164769613,1.405718356,7.975247704,0.028604207,-96.69874955,0.851821563,288.9825694,2.349521183,268.0296042,4.416401213,-288.8616427,2.16682037,8.359232642,0.068135671,275.7055722,3.84063546,-184442.452,70.25499783,1.025899559,0.057069958,6.875318584,0.035679927,4.771681857,0.122677041,0.740359684,0.013661473
HE2158-0348,21.31489269,1.647890341,-151.6288191,0.93689212,-20.76447341,1.768551745,-15.76300108,0.372339119,-173.0527999,0.87537712,42.09986106,2.281734908,-1089.586685,6.84238285,-41.01270686,2.081074215,9.505543297,0.515940916,501.8292821,4.119121404,-159572.3204,280.9306234,5.929915557,0.044953141,8.979050093,0.067448526,6.145169053,0.046600036,0.204511891,0.004931844
HE2221-0453,-130.8322635,2.056723326,98.20794566,0.753440701,116.8892335,1.812074187,95.53003264,0.924325137,-9.098903554,0.873460276,299.3565482,3.703020786,685.8882883,5.261667007,-267.4535816,2.431597112,134.4727459,1.664677184,325.1091065,3.622786212,-166048.3597,268.707007,2.65186372,0.012450141,9.739125385,0.06099913,6.071426225,0.302296185,0.571963973,0.001578685
HE2227-4044,-200.5967113,0.603349249,-134.2303888,0.22687185,200.596588,1.098497618,151.7711755,0.000677676,3.951820273,0.820636137,554.3405867,2.856749136,-1020.427531,1.733169913,-554.3402461,2.390291039,-0.614486704,0.003181064,20.37088965,0.275567956,-157028.7162,103.3193777,2.546302207,0.076933676,12.44962755,0.028542877,1.338855214,0.015535279,0.660438443,0.00832055
HE2228-0706,-22.7564486,0.700374093,-186.7921028,0.650060452,22.60201711,1.175500318,-22.55650015,0.081464357,-6.21955043,0.850803418,37.95574666,1.063513247,-1422.807792,4.954617413,-37.69816858,1.448535585,4.414384096,0.123705712,39.87049251,0.215933496,-167267.7398,130.0139346,5.335275331,0.031575965,7.829071717,0.006272041,1.331435899,0.00588933,0.189442319,0.002839742
HE2238-4131,-9.153400162,1.481846938,-158.5633558,1.00246849,9.152541436,1.721376726,9.118722709,0.020302192,56.40470687,1.117271664,56.33750544,2.305279845,-1051.014831,6.826040467,-56.33222014,2.147019949,-0.771677484,0.031691527,167.1607155,1.540350303,-172988.7986,110.6776806,4.256512747,0.043291919,7.251917753,0.012510475,3.021190288,0.019061258,0.260294159,0.005505856
HE2240-0412,-118.7713798,0.92570202,52.19300631,0.86563678,118.4307059,1.356761987,-111.2940822,0.075476371,32.25525047,0.931612362,564.479114,3.067018231,410.1854446,6.779763871,-562.8600095,2.469615577,42.72308457,0.26773426,21.54508293,0.463746194,-175516.2596,134.8135661,0.968317204,0.019635753,9.150393505,0.025731865,2.385745003,1.156617014,0.808615261,0.003474251
HE2251-0821,127.6204337,2.683205984,-92.31462028,0.776167638,-121.4284132,2.204490595,119.332991,0.834138481,-153.4273013,1.014271956,539.0010969,12.32370011,-671.9134471,5.726786843,-512.8492829,4.726523594,165.8539043,3.825114394,355.436207,5.889996988,-154976.3722,424.5548389,2.273573055,0.029321973,12.83286142,0.120917613,8.371130486,0.063517401,0.698981668,0.003912045
